regime,D_v,n_run,n_steady_snapshots,H_mean,H_std_time,D_mean,D_std_time,DKL_mean,DKL_std_time,kmean_AB,kpeak_A,k_bin,k,PS_A,PS_B,PS_0,G_AB
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,50,6.245566950184736,1.738434383998133e-11,3.6274835459354346e-11,5.49295555730169e-11,6.351881368393432e-13
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,51,6.369241543257701,1.2299321300360728e-11,2.3137869187527145e-11,4.446539374489786e-11,4.5141016285065035e-12
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,52,6.492916136330667,7.613967196815834e-12,1.6462270319589507e-11,3.0159005808613745e-11,3.0413841461045344e-12
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,53,6.616590729403631,5.284838485405846e-12,1.1017695663850319e-11,1.6255374327697696e-11,-2.3579910778770945e-14
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,54,6.740265322476597,3.290290404144053e-12,7.040079085958189e-12,7.092773946022585e-12,-1.6187977720412449e-12
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,55,6.863939915549562,1.9419019836921956e-12,4.508168354097319e-12,5.225496164690106e-12,-6.122870865509634e-13
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,56,6.987614508622527,1.1500917505685118e-12,2.7557009084766623e-12,4.417322451956336e-12,2.5576489645504803e-13
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,57,7.111289101695492,6.466255084412945e-13,1.6432104614257403e-12,2.516047892404733e-12,1.1310596126750681e-13
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,58,7.234963694768457,3.4551489239780225e-13,9.669035222870924e-13,1.1236550128177751e-12,-9.438170093417014e-14
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,0,0.06183729653648254,0.20201807906094463,0.12985605246961535,0.6482659622922361,0.158195915380838
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,1,0.18551188960944762,3.5931596809785553,2.193661622535804,0.8339271342734247,-2.476447084620468
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,2,0.30918648268241267,76.985762736363,81.32159944623376,5.285608488467191,-76.51087684706478
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,3,0.4328610757553778,16.87546519807395,17.16333508464541,2.8176139397689974,-15.61059317147518
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,4,0.5565356688283428,4.204537213099577,3.0915900635625686,2.4128415335097264,-2.441642871576209
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,5,0.680210261901308,2.094941715347879,1.5546729355733218,6.057085811709146,1.2037355803939738
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,6,0.803884854974273,0.6324930294273224,0.7154116772628341,1.6512813488906029,0.15168832110022337
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,7,0.9275594480472381,0.27261401058353063,0.4190752578773534,0.6314591111764456,-0.030115078642219253
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,8,1.0512340411202032,0.16285672620377942,0.11859302961944063,0.17272903799151654,-0.05436035891585179
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,9,1.174908634193168,0.0633940777223494,0.07678140339606006,0.11547260341217808,-0.012351438853115682
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,10,1.2985832272661333,0.032191434371917196,0.03279238174448821,0.08163225174355962,0.00832421781357709
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,11,1.4222578203390985,0.013403801933725647,0.010242535503565128,0.03064030023193717,0.0034969813973231966
segregating,0.010,1,200,0.7983883579984371,0.012305069530344607,1.188991730459148,0.010196842793167326,0.43683165660032436,0.005968169202617412,0.34744490165150593,0.30918648268241267,12,1.5459324134120633,0.005247171461464403,0.004049596621796674,0.009756173653604396,0.00022970278517165806
